,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
0,0,0,2011-07-01 00:15:01,0.102708933718,0,0,-0.11,-0.22,-0.11
1,1,1,2011-07-01 01:15:01,0.0680387288977,0,0,-0.11,-0.22,-0.11
2,2,2,2011-07-01 02:15:01,0.0779940923738,0,0,-0.11,-0.22,-0.11
3,3,3,2011-07-01 03:15:01,0.0776821504362,0,0,-0.11,-0.22,-0.11
4,4,4,2011-07-01 04:15:01,0.0779655822725,0,0,-0.11,-0.22,-0.11
5,5,5,2011-07-01 05:15:01,0.0782387022016,0,0,-0.11,-0.22,-0.11
6,6,6,2011-07-01 06:15:01,0.0764376321353,0,0,-0.11,-0.22,-0.11
7,7,7,2011-07-01 07:15:01,0.0813604030824,0,0,-0.11,-0.22,-0.11
8,8,8,2011-07-01 08:15:01,0.0740671641791,0,0,-0.11,-0.22,-0.11
9,9,9,2011-07-01 09:15:01,0.0881683168317,0,0,-0.11,-0.22,-0.11
10,10,10,2011-07-01 10:15:01,0.100271186441,0,0,-0.11,-0.22,-0.11
11,11,11,2011-07-01 11:15:01,0.145846153846,0,0,-0.11,-0.22,-0.11
12,12,12,2011-07-01 12:15:01,0.148755760369,0,0,-0.11,-0.22,-0.11
13,13,13,2011-07-01 13:15:01,0.129252873563,0,0,-0.11,-0.22,-0.11
14,14,14,2011-07-01 14:15:01,0.133892733564,0,0,-0.11,-0.22,-0.11
15,15,15,2011-07-01 15:15:01,0.0889721385542,0,0,-0.11,-0.22,-0.11
16,16,16,2011-07-01 16:15:01,0.101374045802,0,0,-0.11,-0.22,-0.11
17,17,17,2011-07-01 17:15:01,0.0847703289882,0,0,-0.11,-0.22,-0.11
18,18,18,2011-07-01 18:15:01,0.0771626399529,0,0,-0.11,-0.22,-0.11
19,19,19,2011-07-01 19:15:01,0.0938016019717,0,0,-0.11,-0.22,-0.11
20,20,20,2011-07-01 20:15:01,0.178962789335,0,0,-0.11,-0.22,-0.11
21,21,21,2011-07-01 21:15:01,0.0584133611691,0,0,-0.11,-0.22,-0.11
22,22,22,2011-07-01 22:15:01,0.316660628019,0,0,-0.11,-0.22,-0.11
23,23,23,2011-07-01 23:15:01,0.585524215008,0,0,-0.11,-0.22,-0.11
24,24,24,2011-07-02 00:15:01,0.54060629317,0,0,-0.11,-0.22,-0.11
25,25,25,2011-07-02 01:15:01,0.157337024918,0,0,-0.11,-0.22,-0.11
26,26,26,2011-07-02 02:15:01,0.112858958069,0,0,-0.11,-0.22,-0.11
27,27,27,2011-07-02 03:15:01,0.135819935691,0,0,-0.11,-0.22,-0.11
28,28,28,2011-07-02 04:15:01,0.141235469944,0,0,-0.11,-0.22,-0.11
29,29,29,2011-07-02 05:15:01,0.133929462059,0,0,-0.11,-0.22,-0.11
30,30,30,2011-07-02 06:15:01,0.140538705297,0,0,-0.11,-0.22,-0.11
31,31,31,2011-07-02 07:15:01,0.163977340489,0,0,-0.11,-0.22,-0.11
32,32,32,2011-07-02 08:15:01,0.134132539092,0,0,-0.11,-0.22,-0.11
33,33,33,2011-07-02 09:15:01,0.155975103734,0,0,-0.11,-0.22,-0.11
34,34,34,2011-07-02 10:15:01,0.155511111111,0,0,-0.11,-0.22,-0.11
35,35,35,2011-07-02 11:15:01,0.217246376812,0,0,-0.11,-0.22,-0.11
36,36,36,2011-07-02 12:15:01,0.364081632653,0,0,-0.11,-0.22,-0.11
37,37,37,2011-07-02 13:15:01,0.303917525773,0,0,-0.11,-0.22,-0.11
38,38,38,2011-07-02 14:15:01,0.169372146119,0,0,-0.11,-0.22,-0.11
39,39,39,2011-07-02 15:15:01,0.210147058824,0,0,-0.11,-0.22,-0.11
40,40,40,2011-07-02 16:15:01,0.142770069376,0,0,-0.11,-0.22,-0.11
41,41,41,2011-07-02 17:15:01,0.132340234023,0,0,-0.11,-0.22,-0.11
42,42,42,2011-07-02 18:15:01,0.217628111274,0,0,-0.11,-0.22,-0.11
43,43,43,2011-07-02 19:15:01,0.125834018077,0,0,-0.11,-0.22,-0.11
44,44,44,2011-07-02 20:15:01,0.121125169453,0,0,-0.11,-0.22,-0.11
45,45,45,2011-07-02 21:15:01,0.146591900312,0,0,-0.11,-0.22,-0.11
46,46,46,2011-07-02 22:15:01,0.136264949402,0,0,-0.11,-0.22,-0.11
47,47,47,2011-07-02 23:15:01,0.287270341207,0,0,-0.11,-0.22,-0.11
48,48,48,2011-07-03 00:15:01,0.262491349481,0,0,-0.11,-0.22,-0.11
49,49,49,2011-07-03 01:15:01,0.177481617647,0,0,-0.11,-0.22,-0.11
