Time,DATE_R,TIME_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD2,ALT_QNH,RALTC,GSC,IAS_1,VRTG,LONG,LATG,IVV,FPA_SEL,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVL,ELEVR,FLAP,SPOIL_R2,SPOIL_R3,SPOIL_R4,SPOIL_R5,TAT,VIB_N1FNT1,VIB_N1FNT2,VIB_N2FNT1,VIB_N2FNT2,EGT1,EGT2,GW,TIME_R,DATE_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recorded Date,Recorded Time,A/C Type Ref,Flight phase computed on ground,NOSE LANDING GEAR COMPRESSED SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 2,,Altitude QNH,Radio Altitude  (corrected),Ground speed (corrected),,NORMAL ACCELERATION SYS. 1,LONGITUDINAL ACCELERATION SYS. 1,LATERAL ACCELERATION SYS. 1,Vertical Speed computed on ground,SELECTED FPA,DRIFT ANGLE SYS. 1,MAGNETIC HEADING,Air path - Longitude,Air path - Latitude,DEPARTURE AIRPORT,City pair TO,WIND SPEED,WIND DIRECTION - TRUE,AP1 ENGAGED SYS. 1,AP2 ENGAGED SYS. 1,PITCH CAPT CMD POSITION,PITCH F/O CMD POSITION,ROLL CAPT CMD POSITION,ROLL F/O CMD POSITION,RUDDER POSITION SYS. 1,ELEVATOR POSITION LEFT SYS. 1,ELEVATOR POSITION RIGHT SYS. 1,FLAP ACTUAL POSITION,RH SPL 2 POSITION SYS. 2,RH SPL 3 POSITION SYS. 2,,RH SPL 5 POSITION SYS. 2,TOTAL AIR TEMPERATURE,N1 VIB ENG 1 BRG1 OR TRF SYS. 1,N1 VIB ENG 2 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,IAE EGT LPT EXIT TEMP SYS. 1,IAE EGT LPT EXIT TEMP SYS. 2,GROSS WEIGHT (KGS.),Recorded Time,Recorded Date
,,,,,,%,%,,feet,feet,knot,,g,g,g,ft/min,deg,deg,deg,deg,deg,,,knot,deg,,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg C,%,%,%,%,deg C,deg C,kg,,
05:32:31,00/00/00,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,,-20741.0,    0.0,  2.00,, 0.977,-0.020,  0.0039,    0,   0.0,,246.45,   0.0000, 36.5261,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00, -0.09, -0.18, -0.4,  17,  17,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 155.00,,00:00:00,00/00/00
05:32:32,20/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.977,-0.012,  0.0117,    0,   0.0,,245.04,   0.0000, 36.5261,ZLXN,,,  0.00,N,NOFALT,  0.00,  0.00, -0.09, -0.18, -0.4,  17,  17,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 155.00, 58532,00:00:00,20/01/16
05:32:33,20/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.977,-0.016,  0.0117,    0,   0.0,  0.000,243.63, 102.0409, 36.5261,,,,  0.00,N,NOFALT,  0.00, 22.41, -0.09, -0.18, -0.3,  17,  14,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 155.00,,00:00:00,20/01/16
05:32:34,20/01/16,05:32:34, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.984,-0.008,  0.0156,    0,   0.0,,242.23, 102.0409, 36.5261,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00, -0.09, -0.18, -0.3,  17,   4,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 155.00, 58532,05:32:34,20/01/16
05:32:35,20/01/16,05:32:34, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.977,-0.012,  0.0156,    0,   0.0,,240.47, 102.0409, 36.5261,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00, -0.09, -0.18, -0.3,  17,  44,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00,,05:32:34,20/01/16
05:32:36,20/01/16,05:32:34, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.996,-0.012,  0.0117,    0,   0.0,,239.06, 102.0409, 36.5261,ZLXN,,,  0.00,N,NOFALT,  0.00,  0.00, -0.18, -0.18, -0.3,  17,  43,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00, 58532,05:32:34,20/01/16
05:32:37,20/01/16,05:32:34, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.984,-0.016,  0.0117,    0,   0.0,  0.000,236.95, 102.0409, 36.5261,,,,  0.00,N,NOFALT, 22.41,  0.00,  0.00, -0.09, -0.3,  18,  43,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00,,05:32:34,20/01/16
05:32:38,20/01/16,05:32:38, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.984,-0.012,  0.0117,    0,   0.0,,235.20, 102.0409, 36.5261,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.4,  18,  44,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00, 58532,05:32:38,20/01/16
05:32:39,20/01/16,05:32:38, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.977,-0.012,  0.0117,    0,   0.0,,233.09, 102.0409, 36.5261,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.4,  18,  44,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00,,05:32:38,20/01/16
05:32:40,20/01/16,05:32:38, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.977,-0.012,  0.0156,    0,   0.0,,230.98, 102.0409, 36.5261,ZLXN,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  44,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00, 58532,05:32:38,20/01/16
05:32:41,20/01/16,05:32:38, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.984,-0.012,  0.0156,    0,   0.0,  0.000,228.52, 102.0409, 36.5261,,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 156.00,,05:32:38,20/01/16
05:32:42,20/01/16,05:32:42, 40,ENG. STOP,GROUND,   0.0,   0.0,, 7115.17,    0.0,  0.00,, 0.984,-0.012,  0.0195,    0,   0.0,,226.05, 102.0409, 36.5261,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 155.00, 58532,05:32:42,20/01/16
05:32:43,20/01/16,05:32:42, 40,ENG. STOP,GROUND,   0.0,   0.8,, 7115.17,    0.0,  0.00,, 0.984,-0.012,  0.0156,    0,   0.0,,223.95, 102.0409, 36.5261,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 154.00, 155.00,,05:32:42,20/01/16
05:32:44,20/01/16,05:32:42, 40,ENG. STOP,GROUND,   0.0,   1.0,, 7115.17,    0.0,  0.00,, 0.977,-0.012,  0.0156,    0,   0.0,,221.84, 102.0409, 36.5261,ZLXN,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 154.00, 58532,05:32:42,20/01/16
05:32:45,20/01/16,05:32:42, 40,ENG. STOP,GROUND,   0.0,   1.1,, 7115.17,    0.0,  0.00,, 0.996,-0.008,  0.0156,    0,   0.0,  0.000,219.73, 102.0409, 36.5261,,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 154.00,,05:32:42,20/01/16
05:32:46,20/01/16,05:32:46, 40,ENG. STOP,GROUND,   0.0,   1.4,, 7115.17,    0.0,  0.00,, 0.984,-0.012,  0.0156,    0,   0.0,,217.97, 102.0409, 36.5261,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  18,  45,  0.00,   0,  90,,   0, -4.75, 0.0, 0.0, 0.0, 0.0, 153.00, 153.00, 58532,05:32:46,20/01/16
05:32:47,20/01/16,05:32:46, 40,ENG. STOP,GROUND,   0.0,   1.6,, 7115.17,    0.0,  0.00,, 0.965,-0.012,  0.0156,    0,   0.0,,215.86, 102.0409, 36.5261,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.4,  18,  45,  0.00,   0,  90,,   0,, 0.0, 0.0, 0.0, 0.0, 153.00, 151.00,,05:32:46,20/01/16
