Time,DATE_R,TIME_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD2,ALT_QNH,RALTC,GSC,IAS_1,VRTG,LONG,LATG,IVV,FPA_SEL,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVL,ELEVR,FLAP,SPOIL_R2,SPOIL_R3,SPOIL_R4,SPOIL_R5,TAT,VIB_N1FNT1,VIB_N1FNT2,VIB_N2FNT1,VIB_N2FNT2,EGT1,EGT2,GW,TIME_R,DATE_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recorded Date,Recorded Time,A/C Type Ref,Flight phase computed on ground,NOSE LANDING GEAR COMPRESSED SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 2,,Altitude QNH,Radio Altitude  (corrected),Ground speed (corrected),,NORMAL ACCELERATION SYS. 1,LONGITUDINAL ACCELERATION SYS. 1,LATERAL ACCELERATION SYS. 1,Vertical Speed computed on ground,SELECTED FPA,DRIFT ANGLE SYS. 1,MAGNETIC HEADING,Air path - Longitude,Air path - Latitude,DEPARTURE AIRPORT,City pair TO,WIND SPEED,WIND DIRECTION - TRUE,AP1 ENGAGED SYS. 1,AP2 ENGAGED SYS. 1,PITCH CAPT CMD POSITION,PITCH F/O CMD POSITION,ROLL CAPT CMD POSITION,ROLL F/O CMD POSITION,RUDDER POSITION SYS. 1,ELEVATOR POSITION LEFT SYS. 1,ELEVATOR POSITION RIGHT SYS. 1,FLAP ACTUAL POSITION,RH SPL 2 POSITION SYS. 2,RH SPL 3 POSITION SYS. 2,,RH SPL 5 POSITION SYS. 2,TOTAL AIR TEMPERATURE,N1 VIB ENG 1 BRG1 OR TRF SYS. 1,N1 VIB ENG 2 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,IAE EGT LPT EXIT TEMP SYS. 1,IAE EGT LPT EXIT TEMP SYS. 2,GROSS WEIGHT (KGS.),Recorded Time,Recorded Date
,,,,,,%,%,,feet,feet,knot,,g,g,g,ft/min,deg,deg,deg,deg,deg,,,knot,deg,,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg C,%,%,%,%,deg C,deg C,kg,,
14:14:32,00/00/00,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,,-26525.0,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77,   0.0000, 30.5719,,,  0.00,  0.00,N,NOFALT, 22.41, 22.41, -0.09,  0.09, -0.4,  17,  12,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  60.00,,00:00:00,00/00/00
14:14:33,25/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77,   0.0000, 30.5719,ZUUU,,,  0.00,N,NOFALT, 22.41, 22.41, -0.09,  0.09, -0.4,  17,  12,  0.00,   0,   0,,   0,  5.50, 0.0, 0.0, 0.0, 0.0,  59.00,  60.00, 57081,00:00:00,25/01/16
14:14:34,25/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.977,-0.008,  0.0000,    0,   0.0,  0.000, 14.77, 103.9497, 30.5719,,,,  0.00,N,NOFALT, 22.41, 22.41, -0.09,  0.09, -0.4,  17,  12,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  60.00,,00:00:00,25/01/16
14:14:35,25/01/16,14:14:35, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.012, -0.0039,    0,   0.0,, 14.77, 103.9497, 30.5719,,ZULS,,  0.00,N,NOFALT, 22.41, 22.32, -0.09,  0.09, -0.2,  17,   6,  0.00,   0,   0,,   0,  5.75, 0.0, 0.0, 0.0, 0.0,  59.00,  60.00, 57081,14:14:35,25/01/16
14:14:36,25/01/16,14:14:35, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.012,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,,  0.00,  0.00,N,NOFALT, 22.41, 22.41, -0.09,  0.09, -0.2,  17,  43,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  61.00,,14:14:35,25/01/16
14:14:37,25/01/16,14:14:35, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,ZUUU,,,  0.00,N,NOFALT, 22.41, 22.32,  0.00,  0.09, -0.3,  17,   0,  0.00,   0,   0,,   0,  5.75, 0.0, 0.0, 0.0, 0.0,  59.00,  61.00, 57081,14:14:35,25/01/16
14:14:38,25/01/16,14:14:35, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,  0.000, 14.77, 103.9497, 30.5719,,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  43,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  61.00,,14:14:35,25/01/16
14:14:39,25/01/16,14:14:39, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  44,  0.00,   0,   0,,   0,  5.75, 0.0, 0.0, 0.0, 0.0,  59.00,  61.00, 57081,14:14:39,25/01/16
14:14:40,25/01/16,14:14:39, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.2,  17,  44,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00,,14:14:39,25/01/16
14:14:41,25/01/16,14:14:39, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.004,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,ZUUU,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  44,  0.00,   0,   0,,   0,  6.00, 0.0, 0.0, 0.0, 0.0,  59.00,  61.00, 57081,14:14:39,25/01/16
14:14:42,25/01/16,14:14:39, 40,ENG. STOP,GROUND,   0.0,   0.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,  0.000, 14.77, 103.9497, 30.5719,,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  44,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00,,14:14:39,25/01/16
14:14:43,25/01/16,14:14:43, 40,ENG. STOP,GROUND,   0.0,   0.4,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.2,  17,  45,  0.00,   0,   0,,   0,  6.00, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00, 57081,14:14:43,25/01/16
14:14:44,25/01/16,14:14:43, 40,ENG. STOP,GROUND,   0.0,   1.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  45,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00,,14:14:43,25/01/16
14:14:45,25/01/16,14:14:43, 40,ENG. STOP,GROUND,   0.0,   1.1,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,ZUUU,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.2,  17,  45,  0.00,   0,   0,,   0,  6.00, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00, 57081,14:14:43,25/01/16
14:14:46,25/01/16,14:14:43, 40,ENG. STOP,GROUND,   0.0,   1.4,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,  0.000, 14.77, 103.9497, 30.5719,,,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  45,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00,,14:14:43,25/01/16
14:14:47,25/01/16,14:14:47, 40,ENG. STOP,GROUND,   0.0,   1.6,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,ZULS,,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  45,  0.00,   0,   0,,   0,  5.75, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00, 57081,14:14:47,25/01/16
14:14:48,25/01/16,14:14:47, 40,ENG. STOP,GROUND,   0.0,   2.0,, 1631.58,    0.0,  0.00,, 0.984,-0.008,  0.0000,    0,   0.0,, 14.77, 103.9497, 30.5719,,,  0.00,  0.00,N,NOFALT,  0.00,  0.00,  0.00,  0.00, -0.3,  17,  45,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,  59.00,  62.00,,14:14:47,25/01/16
