Time,DATE_R,TIME_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD2,ALT_QNH,RALTC,GSC,IAS_1,VRTG,LONG,LATG,IVV,FPA_SEL,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVL,ELEVR,FLAP,SPOIL_R2,SPOIL_R3,SPOIL_R4,SPOIL_R5,TAT,VIB_N1FNT1,VIB_N1FNT2,VIB_N2FNT1,VIB_N2FNT2,EGT1,EGT2,GW,TIME_R,DATE_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recorded Date,Recorded Time,A/C Type Ref,Flight phase computed on ground,NOSE LANDING GEAR COMPRESSED SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 2,,Altitude QNH,Radio Altitude  (corrected),Ground speed (corrected),,NORMAL ACCELERATION SYS. 1,LONGITUDINAL ACCELERATION SYS. 1,LATERAL ACCELERATION SYS. 1,Vertical Speed computed on ground,SELECTED FPA,DRIFT ANGLE SYS. 1,MAGNETIC HEADING,Air path - Longitude,Air path - Latitude,DEPARTURE AIRPORT,City pair TO,WIND SPEED,WIND DIRECTION - TRUE,AP1 ENGAGED SYS. 1,AP2 ENGAGED SYS. 1,PITCH CAPT CMD POSITION,PITCH F/O CMD POSITION,ROLL CAPT CMD POSITION,ROLL F/O CMD POSITION,RUDDER POSITION SYS. 1,ELEVATOR POSITION LEFT SYS. 1,ELEVATOR POSITION RIGHT SYS. 1,FLAP ACTUAL POSITION,RH SPL 2 POSITION SYS. 2,RH SPL 3 POSITION SYS. 2,,RH SPL 5 POSITION SYS. 2,TOTAL AIR TEMPERATURE,N1 VIB ENG 1 BRG1 OR TRF SYS. 1,N1 VIB ENG 2 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,IAE EGT LPT EXIT TEMP SYS. 1,IAE EGT LPT EXIT TEMP SYS. 2,GROSS WEIGHT (KGS.),Recorded Time,Recorded Date
,,,,,,%,%,,feet,feet,knot,,g,g,g,ft/min,deg,deg,deg,deg,deg,,,knot,deg,,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg C,%,%,%,%,deg C,deg C,kg,,
04:02:35,00/00/00,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,,-13925.0,    0.0,  0.00,, 0.984,-0.004,  0.0156,    0,   0.0,,149.77,   0.0000, 32.1034,,,  0.00,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,00:00:00,00/00/00
04:02:36,30/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.008,  0.0195,    0,   0.0,,149.77,   0.0000, 32.1034,ZUAL,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90, -3.25, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,00:00:00,30/01/16
04:02:37,30/01/16,00:00:00, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.984,-0.004,  0.0156,    0,   0.0,  0.000,149.77,  80.0540, 32.1034,,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,00:00:00,30/01/16
04:02:38,30/01/16,04:02:38, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.996,-0.008,  0.0156,    0,   0.0,,149.77,  80.0540, 32.1034,,ZULS,,  0.00,N,NOFALT, 22.41,  0.00,  0.00,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90, -3.25, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,04:02:38,30/01/16
04:02:39,30/01/16,04:02:38, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.004,  0.0156,  -40,   0.0,,149.77,  80.0540, 32.1034,,,  0.00,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,04:02:38,30/01/16
04:02:40,30/01/16,04:02:38, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.004,  0.0195,  -66,   0.0,,149.77,  80.0540, 32.1034,ZUAL,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90, -3.25, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,04:02:38,30/01/16
04:02:41,30/01/16,04:02:38, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.008,  0.0156,  -44,   0.0,  0.000,149.77,  80.0540, 32.1034,,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,04:02:38,30/01/16
04:02:42,30/01/16,04:02:42, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.008,  0.0195,  -30,   0.0,,149.77,  80.0540, 32.1034,,ZULS,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90, -3.25, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,04:02:42,30/01/16
04:02:43,30/01/16,04:02:42, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.984,-0.008,  0.0195,  -20,   0.0,,149.77,  80.0540, 32.1034,,,  0.00,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,04:02:42,30/01/16
04:02:44,30/01/16,04:02:42, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.996,-0.008,  0.0195,  -13,   0.0,,149.77,  80.0540, 32.1034,ZUAL,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90, -3.25, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,04:02:42,30/01/16
04:02:45,30/01/16,04:02:42, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.984,-0.008,  0.0156,   31,   0.0,  0.000,149.77,  80.0540, 32.1034,,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 162.00,,04:02:42,30/01/16
04:02:46,30/01/16,04:02:46, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.984,-0.008,  0.0195,   21,   0.0,,149.77,  80.0540, 32.1034,,ZULS,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90, -3.00, 0.0, 0.0, 0.0, 0.0, 170.00, 162.00, 56500,04:02:46,30/01/16
04:02:47,30/01/16,04:02:46, 40,ENG. STOP,GROUND,   0.0,   0.0,,14013.10,    0.0,  0.00,, 0.984,-0.004,  0.0195,  -26,   0.0,,149.77,  80.0540, 32.1034,,,  0.00,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 162.00,,04:02:46,30/01/16
04:02:48,30/01/16,04:02:46, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.996,-0.004,  0.0195,   22,   0.0,,149.77,  80.0540, 32.1034,ZUAL,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90, -3.00, 0.0, 0.0, 0.0, 0.0, 170.00, 162.00, 56500,04:02:46,30/01/16
04:02:49,30/01/16,04:02:46, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.984,-0.004,  0.0156,   55,   0.0,  0.000,149.77,  80.0540, 32.1034,,,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,04:02:46,30/01/16
04:02:50,30/01/16,04:02:50, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.984,-0.008,  0.0195,   37,   0.0,,149.77,  80.0540, 32.1034,,ZULS,,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.1,   4,  12,  0.00,   0,  90,,  90, -3.00, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00, 56500,04:02:50,30/01/16
04:02:51,30/01/16,04:02:50, 40,ENG. STOP,GROUND,   0.0,   0.0,,14017.10,    0.0,  0.00,, 0.996,-0.004,  0.0156,   24,   0.0,,149.77,  80.0540, 32.1034,,,  0.00,  0.00,N,NOFALT, 22.41,  0.00, -0.09,  0.00,  5.0,   4,  12,  0.00,   0,  90,,  90,, 0.0, 0.0, 0.0, 0.0, 170.00, 161.00,,04:02:50,30/01/16
