,timestamp,value,anomaly_score
0,2014-04-01 00:00:00,-21.0483826823,0.0
1,2014-04-01 00:05:00,-20.2954768676,0.0
2,2014-04-01 00:10:00,-18.1272294683,0.0
3,2014-04-01 00:15:00,-20.1716653997,0.0
4,2014-04-01 00:20:00,-21.223761612,0.0
5,2014-04-01 00:25:00,-19.1044911334,0.0
6,2014-04-01 00:30:00,-21.589446495900003,0.0
7,2014-04-01 00:35:00,-18.9450416275,0.0
8,2014-04-01 00:40:00,-18.3058925306,0.0
9,2014-04-01 00:45:00,-18.6397572378,0.0
10,2014-04-01 00:50:00,-21.3480114749,0.0
11,2014-04-01 00:55:00,-19.6692236762,0.0
12,2014-04-01 01:00:00,-21.1877822545,0.0
13,2014-04-01 01:05:00,-20.124932244,0.0
14,2014-04-01 01:10:00,-19.9222364992,0.0
15,2014-04-01 01:15:00,-21.227652606,0.0
16,2014-04-01 01:20:00,-19.6939504468,0.0
17,2014-04-01 01:25:00,-21.2081309243,0.0
18,2014-04-01 01:30:00,-18.4026486599,0.0
19,2014-04-01 01:35:00,-20.5452432622,0.0
20,2014-04-01 01:40:00,-20.8103482262,0.0
21,2014-04-01 01:45:00,-21.5963895846,0.0
22,2014-04-01 01:50:00,-18.8972956749,0.0
23,2014-04-01 01:55:00,-20.4168795204,0.0
24,2014-04-01 02:00:00,-19.7330262548,0.0
25,2014-04-01 02:05:00,-19.5310866222,0.0
26,2014-04-01 02:10:00,-18.4268542208,0.0
27,2014-04-01 02:15:00,-18.5369333224,0.0
28,2014-04-01 02:20:00,-21.3479538458,0.0
29,2014-04-01 02:25:00,-20.9990137293,0.0
30,2014-04-01 02:30:00,-19.5293645212,0.0
31,2014-04-01 02:35:00,-21.3139463256,0.0
32,2014-04-01 02:40:00,-18.3230647393,0.0
33,2014-04-01 02:45:00,-20.4990956681,0.0
34,2014-04-01 02:50:00,-21.4727042109,0.0
35,2014-04-01 02:55:00,-21.3554569241,0.0
36,2014-04-01 03:00:00,-19.4911310398,0.0
37,2014-04-01 03:05:00,-20.9809354122,0.0
38,2014-04-01 03:10:00,-19.7098725821,0.0
39,2014-04-01 03:15:00,-21.3605526576,0.0
40,2014-04-01 03:20:00,-20.1230478006,0.0
41,2014-04-01 03:25:00,-21.059428196400003,0.0
42,2014-04-01 03:30:00,-18.3142863292,0.0
43,2014-04-01 03:35:00,-20.3601038864,0.0
44,2014-04-01 03:40:00,-20.2011367099,0.0
45,2014-04-01 03:45:00,-20.4399068869,0.0
46,2014-04-01 03:50:00,-20.7825664317,0.0
47,2014-04-01 03:55:00,-21.672435880100004,0.0
48,2014-04-01 04:00:00,-21.1427283271,0.0
49,2014-04-01 04:05:00,-18.8785519657,0.0
50,2014-04-01 04:10:00,-21.3035850772,0.0
51,2014-04-01 04:15:00,-18.4883187105,0.0
52,2014-04-01 04:20:00,-20.4887943427,0.0
53,2014-04-01 04:25:00,-21.531015233,0.0
54,2014-04-01 04:30:00,-18.4044882169,0.0
55,2014-04-01 04:35:00,-21.3987706132,0.0
56,2014-04-01 04:40:00,-21.1944829369,0.0
57,2014-04-01 04:45:00,-20.0151017354,0.0
58,2014-04-01 04:50:00,-19.2355904092,0.0
59,2014-04-01 04:55:00,-19.6217529123,0.0
60,2014-04-01 05:00:00,-21.8746325428,0.0
61,2014-04-01 05:05:00,-18.8067902246,0.0
62,2014-04-01 05:10:00,-20.3184171513,0.0
63,2014-04-01 05:15:00,-18.3329629915,0.0
64,2014-04-01 05:20:00,-18.8715722568,0.0
65,2014-04-01 05:25:00,-21.0532655523,0.0
66,2014-04-01 05:30:00,-19.2103961614,0.0
67,2014-04-01 05:35:00,-21.9430642823,0.0
68,2014-04-01 05:40:00,-20.0032681724,0.0
69,2014-04-01 05:45:00,-20.0661573012,0.0
70,2014-04-01 05:50:00,-18.1452589573,0.0
71,2014-04-01 05:55:00,-21.8261069983,0.0
72,2014-04-01 06:00:00,-18.6969337635,0.0
73,2014-04-01 06:05:00,-20.1533623952,0.0
74,2014-04-01 06:10:00,-19.5826984398,0.0
75,2014-04-01 06:15:00,-19.662338803,4.2899419901210045e-05
76,2014-04-01 06:20:00,-20.5732006641,4.417734324635436e-05
77,2014-04-01 06:25:00,-20.6483547084,4.421167502743906e-05
78,2014-04-01 06:30:00,-18.6171544594,4.4405139921099845e-05
79,2014-04-01 06:35:00,-19.9983466125,4.3127702376688504e-05
80,2014-04-01 06:40:00,-21.1619097966,4.2000984975643085e-05
81,2014-04-01 06:45:00,-19.7731459342,3.996962033059326e-05
82,2014-04-01 06:50:00,-18.6632178833,3.937640687368127e-05
83,2014-04-01 06:55:00,-19.2528677726,3.7846237574079566e-05
84,2014-04-01 07:00:00,-18.8495182564,3.60751140821014e-05
85,2014-04-01 07:05:00,-18.5032698717,3.577056507042542e-05
86,2014-04-01 07:10:00,-19.5103245097,3.579044705259715e-05
87,2014-04-01 07:15:00,-20.1637449728,3.5985969713325794e-05
88,2014-04-01 07:20:00,-18.2910061011,3.566572777491395e-05
89,2014-04-01 07:25:00,-20.4152934889,3.543889237733744e-05
90,2014-04-01 07:30:00,-21.9720977607,3.483929815140119e-05
91,2014-04-01 07:35:00,-21.8564997281,3.441421440819603e-05
92,2014-04-01 07:40:00,-21.316693928,3.245603518797768e-05
93,2014-04-01 07:45:00,-19.0653644512,3.1156973702373136e-05
94,2014-04-01 07:50:00,-18.0896303859,2.9469323650443968e-05
95,2014-04-01 07:55:00,-21.3341668115,2.8038376306271928e-05
96,2014-04-01 08:00:00,-18.2228809279,2.700369485364451e-05
97,2014-04-01 08:05:00,-18.8225123259,2.3980170611337392e-05
